384 -> 474
643 -> 607
749 -> 520
216 -> 199
729 -> 711
765 -> 677
316 -> 100
779 -> 547
95 -> 55
328 -> 156
600 -> 863
175 -> 462
840 -> 512
702 -> 638
588 -> 97
897 -> 566
892 -> 273
236 -> 22
524 -> 518
518 -> 524
863 -> 600
450 -> 633
860 -> 529
810 -> 0 461
808 -> 0 461
791 -> 0 461
785 -> 0 461
773 -> 461 0
768 -> 0 461
611 -> 461 0
626 -> 461 0
625 -> 0 461
624 -> 461 0
623 -> 0 461
622 -> 461 0
621 -> 461 0
618 -> 461 0
617 -> 0 461
615 -> 461 0
613 -> 461 0
627 -> 461 0
603 -> 0 461
598 -> 461 0
597 -> 0 461
596 -> 461 0
411 -> 461 0
594 -> 0 461
593 -> 461 0
592 -> 0 461
589 -> 461 0
587 -> 461 0
664 -> 0 461
693 -> 0 461
689 -> 0 461
688 -> 0 461
683 -> 0 461
682 -> 0 461
680 -> 461 0
675 -> 461 0
670 -> 461 0
667 -> 0 461
666 -> 461 0
585 -> 461 0
662 -> 461 0
661 -> 461 0
660 -> 461 0
656 -> 0 461
654 -> 0 461
646 -> 0 461
644 -> 0 461
641 -> 0 461
631 -> 0 461
87 -> 0 461
106 -> 461 0
103 -> 0 461
101 -> 0 461
99 -> 0 461
96 -> 0 461
93 -> 0 461
92 -> 0 461
91 -> 0 461
90 -> 0 461
89 -> 0 461
88 -> 461 0
107 -> 461 0
81 -> 461 0
80 -> 0 461
79 -> 0 461
77 -> 0 461
76 -> 461 0
74 -> 0 461
73 -> 0 461
72 -> 461 0
71 -> 461 0
70 -> 461 0
69 -> 0 461
128 -> 461 0
151 -> 461 0
145 -> 0 461
144 -> 0 461
140 -> 0 461
397 -> 461 0
138 -> 461 0
137 -> 461 0
134 -> 0 461
133 -> 461 0
130 -> 461 0
129 -> 0 461
67 -> 461 0
127 -> 0 461
121 -> 0 461
120 -> 0 461
119 -> 0 461
118 -> 461 0
115 -> 0 461
112 -> 0 461
111 -> 461 0
110 -> 461 0
108 -> 461 0
14 -> 461 0
28 -> 461 0
27 -> 461 0
26 -> 0 461
25 -> 0 461
24 -> 0 461
23 -> 0 461
20 -> 461 0
19 -> 461 0
18 -> 0 461
16 -> 461 0
15 -> 0 461
29 -> 0 461
13 -> 0 461
12 -> 461 0
11 -> 0 461
10 -> 0 461
9 -> 461 0
8 -> 461 0
7 -> 0 461
6 -> 461 0
5 -> 0 461
2 -> 0 461
44 -> 461 0
64 -> 461 0
62 -> 0 461
60 -> 0 461
59 -> 0 461
53 -> 461 0
52 -> 461 0
51 -> 0 461
50 -> 461 0
48 -> 0 461
47 -> 461 0
46 -> 0 461
139 -> 0 461
43 -> 461 0
39 -> 0 461
38 -> 0 461
37 -> 0 461
36 -> 0 461
35 -> 461 0
34 -> 0 461
33 -> 0 461
32 -> 0 461
31 -> 0 461
336 -> 461 0
264 -> 0 461
263 -> 0 461
260 -> 461 0
329 -> 0 461
258 -> 461 0
249 -> 461 0
248 -> 461 0
244 -> 0 461
242 -> 0 461
241 -> 461 0
268 -> 461 0
155 -> 461 0
234 -> 461 0
232 -> 461 0
231 -> 461 0
229 -> 461 0
228 -> 461 0
227 -> 461 0
226 -> 461 0
340 -> 461 0
291 -> 461 0
325 -> 0 461
323 -> 461 0
321 -> 0 461
315 -> 0 461
311 -> 461 0
309 -> 461 0
308 -> 461 0
307 -> 461 0
298 -> 0 461
225 -> 0 461
290 -> 461 0
289 -> 461 0
288 -> 461 0
283 -> 0 461
281 -> 461 0
279 -> 461 0
277 -> 461 0
326 -> 0 461
270 -> 461 0
174 -> 461 0
200 -> 461 0
368 -> 0 461
374 -> 461 0
191 -> 0 461
185 -> 461 0
379 -> 461 0
181 -> 461 0
180 -> 0 461
178 -> 461 0
176 -> 461 0
202 -> 0 461
380 -> 461 0
173 -> 461 0
172 -> 0 461
170 -> 0 461
169 -> 461 0
167 -> 0 461
165 -> 461 0
163 -> 461 0
161 -> 461 0
381 -> 461 0
203 -> 461 0
223 -> 0 461
220 -> 461 0
218 -> 461 0
215 -> 461 0
213 -> 461 0
211 -> 461 0
343 -> 461 0
351 -> 461 0
207 -> 0 461
206 -> 461 0
205 -> 461 0
353 -> 0 461
204 -> 0 461
355 -> 0 461
365 -> 0 461
224 -> 0 461
462 -> 175 0 461
22 -> 461 0 236
474 -> 384 0 461
520 -> 461 0 749
55 -> 461 0 95
156 -> 328 461 0
607 -> 0 461 643
566 -> 0 461 897
196 -> 658 461 0
199 -> 0 461 216
633 -> 0 450 461
638 -> 461 0 702
547 -> 461 0 779
100 -> 461 0 316
658 -> 196 0 461
97 -> 0 461 588
677 -> 461 0 765
529 -> 461 0 860
711 -> 0 461 729
512 -> 461 0 840
273 -> 461 0 892
461 -> 5 6 7 8 0 9 10 11 12 13 14 15 16 18 19 20 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 43 44 46 47 48 50 51 52 53 55 59 60 62 64 67 69 70 71 72 73 74 76 77 79 80 81 87 88 89 90 91 92 93 96 97 99 100 101 103 106 107 108 110 111 112 115 118 119 120 121 127 128 129 130 133 134 137 138 139 140 144 145 151 155 156 161 163 165 167 169 170 172 173 174 176 178 180 181 185 191 196 199 200 202 203 204 205 206 207 211 213 215 218 220 223 224 225 226 227 228 229 231 232 234 241 242 244 248 249 258 260 263 264 268 270 273 277 279 281 283 288 289 290 291 298 307 308 309 311 315 321 323 325 326 329 336 340 343 351 353 355 365 368 374 379 380 381 397 403 406 409 411 418 419 430 447 587 553 598 615 503 489 764 529 548 497 773 547 677 589 558 539 624 613 469 512 748 755 499 698 477 504 522 507 481 915 713 662 675 540 830 515 508 714 545 611 531 737 638 712 741 581 550 483 759 730 486 568 622 571 595 579 660 816 593 666 543 561 584 498 484 565 670 627 574 738 923 618 596 468 585 533 889 821 520 492 626 720 883 661 546 841 680 621 478 751 517 597 528 570 682 791 641 667 683 536 480 722 785 768 810 693 494 542 534 884 658 592 2 732 625 832 519 731 617 747 688 815 541 644 656 523 746 500 745 880 717 817 566 664 487 913 689 567 476 488 576 623 462 479 564 482 563 646 569 594 510 607 516 485 527 707 465 513 711 808 845 710 474 603 530 631 526 654 475 573 633
0 -> 5 6 7 8 461 9 10 11 12 13 14 15 16 18 19 20 22 23 24 25 26 27 28 29 31 32 33 34 35 36 37 38 39 43 44 46 47 48 50 51 52 53 55 59 60 62 64 67 69 70 71 72 73 74 76 77 79 80 81 87 88 89 90 91 92 93 96 97 99 100 101 103 106 107 108 110 111 112 115 118 119 120 121 127 128 129 130 133 134 137 138 139 140 144 145 151 155 156 161 163 165 167 169 170 172 173 174 176 178 180 181 185 633 191 196 199 200 202 203 204 205 206 207 211 213 215 218 220 223 224 225 226 475 227 228 229 231 232 234 573 241 242 244 248 249 258 260 263 264 268 270 273 277 279 281 283 288 289 290 291 298 307 308 309 311 315 321 323 325 326 329 336 340 343 351 353 355 365 368 374 379 380 381 397 403 406 409 411 418 419 430 447 654 526 631 530 603 474 710 845 808 711 513 465 707 527 485 516 607 510 594 569 646 563 482 564 479 462 623 576 488 476 567 689 913 487 664 566 817 717 880 745 500 746 523 656 644 541 815 688 747 617 731 519 832 625 732 2 592 658 884 534 542 494 693 810 768 785 722 480 536 683 667 641 791 682 570 528 597 517 751 478 621 680 841 546 661 883 720 626 492 520 821 889 533 585 468 596 618 923 738 574 627 670 565 484 498 584 561 543 666 593 816 660 579 595 571 622 568 486 730 759 483 581 741 712 638 737 531 611 545 714 508 515 830 540 675 662 713 915 481 507 522 504 477 698 499 755 748 512 469 613 624 539 558 589 677 547 773 497 548 529 764 489 503 615 598 553 587 550
